text,line_type
"ment, we would have been presenting to",firstColumnOnly
the industry and residents a document,firstColumnOnly
which had been appallingly drawn up and,firstColumnOnly
4900 REPRESENTATIVES 21 December 1990                               JVursing llon1es,pageBreak
,lineBreak
these matters should be resolved up front               Gazette under the Act and which are com-,both
by presenting an agreement which can be                 monly known as Outcome Standards;,both
signed and documented. In many in-,firstColumnOnly
"stances we still believe that the amend-                - ""The Act"" means the National Health Act",both
ments that we proposed clarified the                    1953 as amended from time to time includ-,both
document. There were other substantive                  ing amendments made after the date of this,both
matters on which we disagreed with the                  Agreement;,both
Democrats and with the Government.                                  <,both
,lineBreak
