text,first_column,second_column,line_type,ordering
"trines, tenets, beliefs and teachings of the               ""became"".","trines, tenets, beliefs and teachings of the","""became"".",both,331
"religious body; and                                          No. 44-Subclause 16.1, omit ""as set out by",religious body; and,"No. 44-Subclause 16.1, omit ""as set out by",both,332
"(b) with the consent of the resident, require                  wealth pays"", substitute ""as determined from time","(b) with the consent of the resident, require","wealth pays"", substitute ""as determined from time",both,334
any medical practitioner chosen by the                     to time by the Secretary less any amount the,any medical practitioner chosen by the,to time by the Secretary less any amount the,both,335
"resident to agree to respect and observe                   Commonwealth pays"".",resident to agree to respect and observe,"Commonwealth pays"".",both,336
"the philosophy of the religious body when                   No. 45-Subclause 16.2, omit ""developed"",",the philosophy of the religious body when,"No. 45-Subclause 16.2, omit ""developed"",",both,337
"practising her/his profession within the                   substitute ""supplied"".",practising her/his profession within the,"substitute ""supplied"".",both,338
"substitute ""herself/himself', and omit ""they are"",","substitute ""herself/himself', and omit ""they are"",",NA,both,342
"No. 46-Subclause 16.3, omit the subclause,             property lawfully in the nursing home or on the","No. 46-Subclause 16.3, omit the subclause,",property lawfully in the nursing home or on the,both,346
"substitute the following subclause:                      land on which the nursing home is situated"".",substitute the following subclause:,"land on which the nursing home is situated"".",both,347
"""6.3 The proprietor will give the resident at         No. 61-Subclause 21.3, omit paragraph (g),","""6.3 The proprietor will give the resident at","No. 61-Subclause 21.3, omit paragraph (g),",both,349
least once each month a statement of         substitute the following paragraph:,least once each month a statement of,substitute the following paragraph:,both,350
account which includes items showing,account which includes items showing,NA,both,351
"the amounts of moneys paid by the                 ""(g) the resident is absent from the nursing",the amounts of moneys paid by the,"""(g) the resident is absent from the nursing",both,352
resident or on the resident's behalf to                 home for seven (7) days and the absence,resident or on the resident's behalf to,home for seven (7) days and the absence,both,353
the proprietor during the period to                     is not authorised by or under the Act,the proprietor during the period to,is not authorised by or under the Act,both,354
which the statement relates and which                   and the absence is not the result of an,which the statement relates and which,and the absence is not the result of an,both,355
sets out the purpose for which each                     emergency and the resident and propri-,sets out the purpose for which each,emergency and the resident and propri-,both,356
"payment was made. "".                                    etor have not agreed on a fee to main-","payment was made. "".",etor have not agreed on a fee to main-,both,357
"No. 47-Clause 17, omit ""approved by the                           outside the leave provisions of the Act;"".","No. 47-Clause 17, omit ""approved by the","outside the leave provisions of the Act;"".",both,359
"""approved by the Secretary or the Minister as              No. 62-Subclause 21.4, omit ""except in re-","""approved by the Secretary or the Minister as","No. 62-Subclause 21.4, omit ""except in re-",both,361
"the case may be"".                                        spect of paragraph 21.3 (g)"".","the case may be"".","spect of paragraph 21.3 (g)"".",both,362
"No. 48-Subparagraph 17 (a) (iii), omit all               No. 63-Subclause 21.4, omit ""time in"" after","No. 48-Subparagraph 17 (a) (iii), omit all","No. 63-Subclause 21.4, omit ""time in"" after",both,364
"words after ""nursing home"", insert ""shall be set         ""Notice must set out the"", and substitute ""period","words after ""nursing home"", insert ""shall be set","""Notice must set out the"", and substitute ""period",both,365
